groupname,overallocation,conflicts,undersupport,unwilling,unpreferred
miahueby,21,12,15,0,0
miahueby,6,4,28,0,0
miahueby,16,9,8,17,5
miahueby,10,11,4,0,18
miahueby,11,9,5,0,19
miahueby,21,13,11,7,1
miahueby,15,5,21,0,0
miahueby,43,18,4,6,0
miahueby,32,20,5,6,2
miahueby,10,8,10,0,17
miahueby,29,19,7,7,1
miahueby,30,19,5,8,0
miahueby,31,14,8,0,0
miahueby,21,15,9,8,0
miahueby,18,10,7,0,17
miahueby,24,11,4,0,17
miahueby,37,20,3,8,0
miahueby,24,10,2,17,5
miahueby,21,14,11,6,2
miahueby,23,12,12,0,0
miahueby,34,15,6,6,2
miahueby,37,18,5,6,2
miahueby,22,11,11,7,1
miahueby,22,10,4,17,5
miahueby,8,8,14,17,5
miahueby,22,15,11,0,2
miahueby,38,17,5,0,0
miahueby,31,16,7,7,1
miahueby,15,10,3,0,23
miahueby,9,8,6,0,19
miahueby,675,43,0,494,142
miahueby,19,12,13,0,8
miahueby,36,20,4,6,2
miahueby,34,20,4,8,0
miahueby,14,11,3,0,23
miahueby,44,19,3,6,0
miahueby,14,8,4,0,23
miahueby,20,9,5,17,5
miahueby,53,22,2,11,3
miahueby,2,5,9,0,18
miahueby,18,9,7,17,5
miahueby,20,11,5,0,17
miahueby,32,18,6,7,1
miahueby,21,8,18,0,0
miahueby,3,4,33,0,0
miahueby,25,11,13,0,0
miahueby,22,13,12,0,0
miahueby,0,0,43,0,0
miahueby,34,19,5,6,2
miahueby,6,7,6,0,23
miahueby,24,10,15,0,0
miahueby,19,13,3,0,17
miahueby,30,17,7,6,2
miahueby,36,15,6,6,0
miahueby,8,7,17,0,5
miahueby,42,20,3,0,8
miahueby,20,13,3,0,16
miahueby,20,15,11,7,1
miahueby,4,6,8,0,23
miahueby,27,14,10,0,0
miahueby,15,10,9,0,17
miahueby,13,6,21,0,0
miahueby,27,20,6,8,0
miahueby,7,6,18,0,5
miahueby,59,26,2,0,75
miahueby,18,11,10,8,0
miahueby,6,6,7,0,20
miahueby,26,12,11,0,0
miahueby,31,18,5,8,0
miahueby,15,7,20,0,0
miahueby,10,8,12,17,5
miahueby,5,5,8,0,20
miahueby,25,17,9,6,2
miahueby,23,11,15,0,0
miahueby,19,10,5,17,5
miahueby,5,7,7,0,23
miahueby,10,8,5,0,23
miahueby,23,18,9,0,8
miahueby,23,11,10,7,1
miahueby,18,12,5,0,16
miahueby,10,7,15,0,5
miahueby,33,18,6,6,2
miahueby,21,12,4,0,17
miahueby,33,16,7,0,8
miahueby,26,19,8,0,8
miahueby,41,21,3,0,8
miahueby,19,13,4,0,16
miahueby,26,15,10,0,8
miahueby,29,20,6,7,1
miahueby,40,19,4,6,2
miahueby,23,10,3,17,5
miahueby,19,16,10,7,1
miahueby,17,13,5,0,16
miahueby,9,10,5,0,18
miahueby,21,13,13,0,0
miahueby,37,17,5,0,8
miahueby,12,8,14,7,1
miahueby,26,18,7,8,0
miahueby,34,16,6,7,1
miahueby,21,11,12,0,8
miahueby,8,7,7,0,19
miahueby,19,11,6,0,17
miahueby,42,20,3,7,1
miahueby,28,11,10,0,0
miahueby,40,18,4,7,1
miahueby,9,7,16,0,5
miahueby,16,12,17,0,0
miahueby,22,15,10,6,2
miahueby,34,20,5,7,1
miahueby,27,18,8,6,2
miahueby,9,9,10,14,4
miahueby,31,19,6,7,1
miahueby,9,8,13,17,5
miahueby,30,15,8,7,1
miahueby,19,12,16,0,0
miahueby,17,10,11,8,0
miahueby,17,10,19,0,0
miahueby,28,17,9,0,8
miahueby,25,19,7,8,0
miahueby,28,16,8,6,0
miahueby,36,18,5,7,1
miahueby,24,14,8,8,0
miahueby,17,10,12,7,1
miahueby,39,20,4,0,8
miahueby,22,14,10,7,1
miahueby,29,20,6,6,2
miahueby,15,11,8,0,17
miahueby,27,10,11,0,0
miahueby,20,16,11,0,8
miahueby,17,10,8,0,17
miahueby,37,18,5,0,7
miahueby,38,20,4,7,1
miahueby,22,17,9,7,1
miahueby,18,8,19,0,0
miahueby,33,17,6,7,1
miahueby,42,20,3,6,2
miahueby,70,23,1,0,67
miahueby,21,10,5,0,17
miahueby,19,11,18,0,0
miahueby,30,18,8,0,8
miahueby,14,9,9,17,5
miahueby,27,17,8,7,1
miahueby,37,17,5,7,1
miahueby,61,22,1,17,5
miahueby,29,14,9,0,0
miahueby,13,10,6,14,4
miahueby,35,20,6,0,8
miahueby,23,12,3,0,17
miahueby,10,6,23,0,0
miahueby,12,3,22,0,0
miahueby,19,9,6,17,5
miahueby,26,18,8,7,1
miahueby,30,20,7,0,8
miahueby,35,21,5,0,8
miahueby,14,9,13,7,1
miahueby,22,12,13,0,0
miahueby,36,19,5,0,8
miahueby,37,21,4,0,8
miahueby,16,6,20,0,0
miahueby,22,9,17,0,0
miahueby,23,9,16,0,0
miahueby,25,16,9,7,1
miahueby,9,7,6,0,20
miahueby,24,17,10,0,8
miahueby,29,18,6,8,0
miahueby,21,15,11,0,8
miahueby,17,11,7,0,17
miahueby,16,12,6,0,16
miahueby,6,8,7,0,18
miahueby,13,10,4,0,23
miahueby,26,14,9,7,1
miahueby,32,19,6,6,2
miahueby,32,19,7,0,8
miahueby,29,20,5,8,0
miahueby,7,9,6,0,18
miahueby,21,10,16,0,0
miahueby,4,7,8,0,18
miahueby,20,13,12,0,8
miahueby,21,14,12,0,0
miahueby,23,15,8,8,0
miahueby,20,11,17,0,0
miahueby,29,19,7,6,2
miahueby,24,14,11,0,8
miahueby,54,21,2,11,4
miahueby,13,12,12,7,1
miahueby,22,18,8,8,0
